,Year,Month,Day,Alta,Snowbird
,2020,Nov,8,1,6
,2020,Nov,9,26,18
,2020,Nov,10,1,3
,2020,Nov,11,2,0
,2020,Nov,12,6,10
,2020,Nov,13,1,6
,2020,Nov,14,12,15
,2020,Nov,15,0,0
,2020,Nov,16,0,0
,2020,Nov,17,0,0
,2020,Nov,18,0,0
,2020,Nov,19,0,0
,2020,Nov,20,0,0
,2020,Nov,21,0,0
,2020,Nov,22,0,0
,2020,Nov,23,0,0
,2020,Nov,24,0,1
,2020,Nov,25,0,0
,2020,Nov,26,2,2
,2020,Nov,27,2,5
,2020,Nov,28,0,0
,2020,Nov,29,0,0
,2020,Nov,30,0,0
,2020,Dec,1,0,0
,2020,Dec,2,0,0
,2020,Dec,3,0,0
,2020,Dec,4,0,0
,2020,Dec,5,0,0
,2020,Dec,6,0,0
,2020,Dec,7,0,0
,2020,Dec,8,0,0
,2020,Dec,9,0,0
,2020,Dec,10,0,0
,2020,Dec,11,0,0
,2020,Dec,12,3,10
,2020,Dec,13,12,12
,2020,Dec,14,1,5
,2020,Dec,15,3,1
,2020,Dec,16,1,1
,2020,Dec,17,0,3
,2020,Dec,18,18,11
,2020,Dec,19,2,0
,2020,Dec,20,0,0
,2020,Dec,21,0,0
,2020,Dec,22,0,3
,2020,Dec,23,12,14
,2020,Dec,24,2,0
,2020,Dec,25,0,0
,2020,Dec,26,0,2
,2020,Dec,27,3,2
,2020,Dec,28,0,0
,2020,Dec,29,1,1
,2020,Dec,30,0,0
,2020,Dec,31,0,0
,2021,Jan,1,1,1
,2021,Jan,2,0,0
,2021,Jan,3,0,2
,2021,Jan,4,4,2
,2021,Jan,5,6,5
,2021,Jan,6,4,3
,2021,Jan,7,0,0
,2021,Jan,8,0,0
,2021,Jan,9,0,0
,2021,Jan,10,0,0
,2021,Jan,11,0,0
,2021,Jan,12,0,0
,2021,Jan,13,0,0
,2021,Jan,14,0,0
,2021,Jan,15,0,0
,2021,Jan,16,2,2
,2021,Jan,17,0,0
,2021,Jan,18,0,0
,2021,Jan,19,2,4
,2021,Jan,20,0,0
,2021,Jan,21,0,0
,2021,Jan,22,0,0
,2021,Jan,23,16,16
,2021,Jan,24,4,1
,2021,Jan,25,1,1
,2021,Jan,26,2,2
,2021,Jan,27,1,2
,2021,Jan,28,5,3
,2021,Jan,29,2,0
,2021,Jan,30,17,17
,2021,Jan,31,2,0
,2021,Feb,1,0,0
,2021,Feb,2,0,0
,2021,Feb,3,0,5
,2021,Feb,4,4,8
,2021,Feb,5,14,1
,2021,Feb,6,1,15
,2021,Feb,7,0,0
,2021,Feb,8,0,0
,2021,Feb,9,1,2
,2021,Feb,10,0,3
,2021,Feb,11,0,0
,2021,Feb,12,11,5
,2021,Feb,13,19,1
,2021,Feb,14,4,20
,2021,Feb,15,11,4
,2021,Feb,16,20,21
,2021,Feb,17,20,39
,2021,Feb,18,2,10
,2021,Feb,19,1,2
,2021,Feb,20,2,1
,2021,Feb,21,4,3
,2021,Feb,22,0,0
,2021,Feb,23,0,0
,2021,Feb,24,2,0
,2021,Feb,25,0,0
,2021,Feb,26,2,0
,2021,Feb,27,11,11
,2021,Feb,28,0,3
,2021,Mar,1,0,0
,2021,Mar,2,0,0
,2021,Mar,3,0,0
,2021,Mar,4,1,1
,2021,Mar,5,0,0
,2021,Mar,6,0,0
,2021,Mar,7,0,0
,2021,Mar,8,0,0
,2021,Mar,9,0,0
,2021,Mar,10,4,4
